date,fishing
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,6
2016-01-30,7
2016-01-31,8
2016-02-01,13
2016-02-02,11
2016-02-03,10
2016-02-04,10
2016-02-05,0
2016-02-19,0
2016-02-20,11
2016-02-21,16
2016-02-22,9
2016-02-23,13
2016-02-24,0
2016-02-25,0
2016-02-26,3
2016-02-27,13
2016-02-28,5
2016-02-29,22
2016-03-01,10
2016-03-02,5
2016-03-03,12
2016-03-04,13
2016-03-05,5
2016-03-06,11
2016-03-07,14
2016-03-08,13
2016-03-09,12
2016-03-10,3
2016-03-11,19
2016-03-12,13
2016-03-13,16
2016-03-14,12
2016-03-15,12
2016-03-16,5
2016-03-17,16
2016-03-18,18
2016-03-19,16
2016-03-20,15
2016-03-21,15
2016-03-22,14
2016-03-23,15
2016-03-24,16
2016-03-25,17
2016-03-26,1
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,2
2016-04-12,2
2016-04-13,5
2016-04-14,8
2016-04-15,0
2016-04-16,5
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,1
2016-04-22,3
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,8
2016-04-29,22
2016-04-30,15
2016-05-01,4
2016-05-02,6
2016-05-03,6
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,0
2016-05-13,0
2016-05-14,6
2016-05-15,10
2016-05-16,1
2016-05-17,12
2016-05-18,5
2016-05-19,7
2016-05-20,10
2016-05-21,19
2016-05-22,11
2016-05-23,4
2016-05-24,19
2016-05-25,20
2016-05-26,20
2016-05-27,23
2016-05-28,12
2016-05-29,13
2016-05-30,11
2016-05-31,16
2016-06-01,20
2016-06-02,14
2016-06-03,0
2016-06-04,14
2016-06-05,0
2016-06-06,0
2016-06-07,8
2016-06-08,0
2016-06-09,4
2016-06-10,1
2016-06-11,0
2016-06-12,0
2016-06-13,4
2016-06-14,5
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,3
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,9
