date,fishing
2016-01-01,564
2016-01-02,718
2016-01-03,1058
2016-01-04,2036
2016-01-05,2668
2016-01-06,3055
2016-01-07,3026
2016-01-08,2583
2016-01-09,2589
2016-01-10,2638
2016-01-11,4070
2016-01-12,3690
2016-01-13,3599
2016-01-14,3167
2016-01-15,2408
2016-01-16,2383
2016-01-17,2320
2016-01-18,3566
2016-01-19,3589
2016-01-20,3855
2016-01-21,3517
2016-01-22,2064
2016-01-23,2615
2016-01-24,2642
2016-01-25,3588
2016-01-26,2017
2016-01-27,2596
2016-01-28,2385
2016-01-29,2103
2016-01-30,1488
2016-01-31,1736
2016-02-01,3342
2016-02-02,3615
2016-02-03,3874
2016-02-04,3552
2016-02-05,3564
2016-02-06,3215
2016-02-07,2794
2016-02-08,3511
2016-02-09,3728
2016-02-10,3787
2016-02-11,3192
2016-02-12,3763
2016-02-13,4353
2016-02-14,3694
2016-02-15,4615
2016-02-16,3239
2016-02-17,1770
2016-02-18,3611
2016-02-19,2805
2016-02-20,3147
2016-02-21,2883
2016-02-22,4727
2016-02-23,4224
2016-02-24,4251
2016-02-25,5404
2016-02-26,4754
2016-02-27,3761
2016-02-28,3962
2016-02-29,4788
2016-03-01,3691
2016-03-02,4237
2016-03-03,4636
2016-03-04,3681
2016-03-05,4548
2016-03-06,3988
2016-03-07,5851
2016-03-08,6215
2016-03-09,5819
2016-03-10,5354
2016-03-11,4369
2016-03-12,2610
2016-03-13,2924
2016-03-14,4976
2016-03-15,4086
2016-03-16,4218
2016-03-17,3851
2016-03-18,3210
2016-03-19,3860
2016-03-20,3746
2016-03-21,4379
2016-03-22,3871
2016-03-23,2825
2016-03-24,3016
2016-03-25,2779
2016-03-26,2145
2016-03-27,1800
2016-03-28,1478
2016-03-29,2606
2016-03-30,2686
2016-03-31,3598
2016-04-01,3379
2016-04-02,3904
2016-04-03,2994
2016-04-04,4134
2016-04-05,4163
2016-04-06,4179
2016-04-07,2754
2016-04-08,2814
2016-04-09,2191
2016-04-10,2363
2016-04-11,3463
2016-04-12,2953
2016-04-13,2561
2016-04-14,2644
2016-04-15,2551
2016-04-16,2400
2016-04-17,2453
2016-04-18,2948
2016-04-19,2604
2016-04-20,3577
2016-04-21,2777
2016-04-22,2397
2016-04-23,1926
2016-04-24,2125
2016-04-25,3617
2016-04-26,2859
2016-04-27,2806
2016-04-28,2798
2016-04-29,1970
2016-04-30,1801
2016-05-01,2134
2016-05-02,3126
2016-05-03,3200
2016-05-04,3043
2016-05-05,2371
2016-05-06,2825
2016-05-07,2331
2016-05-08,2027
2016-05-09,2996
2016-05-10,4003
2016-05-11,3472
2016-05-12,2538
2016-05-13,2072
2016-05-14,2011
2016-05-15,1869
2016-05-16,2390
2016-05-17,1804
2016-05-18,2318
2016-05-19,2941
2016-05-20,2569
2016-05-21,2042
2016-05-22,2503
2016-05-23,4138
2016-05-24,2996
2016-05-25,3848
2016-05-26,4298
2016-05-27,3693
2016-05-28,3012
2016-05-29,3598
2016-05-30,4327
2016-05-31,3987
2016-06-01,3316
2016-06-02,3217
2016-06-03,2297
2016-06-04,2425
2016-06-05,3051
2016-06-06,4979
2016-06-07,4041
2016-06-08,2296
2016-06-09,2948
2016-06-10,3135
2016-06-11,2886
2016-06-12,3226
2016-06-13,4234
2016-06-14,3214
2016-06-15,3003
2016-06-16,3053
2016-06-17,2125
2016-06-18,1867
2016-06-19,2166
2016-06-20,3119
2016-06-21,3467
2016-06-22,3323
2016-06-23,3367
2016-06-24,2819
2016-06-25,2347
2016-06-26,2353
2016-06-27,2848
