date,fishing
2016-01-01,386
2016-01-02,332
2016-01-03,354
2016-01-04,412
2016-01-05,417
2016-01-06,462
2016-01-07,392
2016-01-08,426
2016-01-09,474
2016-01-10,449
2016-01-11,454
2016-01-12,445
2016-01-13,453
2016-01-14,471
2016-01-15,440
2016-01-16,453
2016-01-17,416
2016-01-18,408
2016-01-19,527
2016-01-20,540
2016-01-21,532
2016-01-22,504
2016-01-23,469
2016-01-24,438
2016-01-25,452
2016-01-26,375
2016-01-27,441
2016-01-28,536
2016-01-29,561
2016-01-30,602
2016-01-31,549
2016-02-01,449
2016-02-02,416
2016-02-03,428
2016-02-04,388
2016-02-05,325
2016-02-06,241
2016-02-07,203
2016-02-08,362
2016-02-09,385
2016-02-10,386
2016-02-11,370
2016-02-12,348
2016-02-13,312
2016-02-14,306
2016-02-15,328
2016-02-16,220
2016-02-17,196
2016-02-18,239
2016-02-19,345
2016-02-20,371
2016-02-21,330
2016-02-22,345
2016-02-23,361
2016-02-24,390
2016-02-25,396
2016-02-26,404
2016-02-27,350
2016-02-28,291
2016-02-29,325
2016-03-01,340
2016-03-02,477
2016-03-03,532
2016-03-04,491
2016-03-05,482
2016-03-06,457
2016-03-07,421
2016-03-08,407
2016-03-09,366
2016-03-10,338
2016-03-11,383
2016-03-12,524
2016-03-13,548
2016-03-14,461
2016-03-15,340
2016-03-16,349
2016-03-17,427
2016-03-18,409
2016-03-19,449
2016-03-20,395
2016-03-21,344
2016-03-22,325
2016-03-23,327
2016-03-24,359
2016-03-25,424
2016-03-26,462
2016-03-27,442
2016-03-28,339
2016-03-29,383
2016-03-30,407
2016-03-31,351
2016-04-01,325
2016-04-02,369
2016-04-03,357
2016-04-04,495
2016-04-05,460
2016-04-06,471
2016-04-07,460
2016-04-08,404
2016-04-09,491
2016-04-10,445
2016-04-11,482
2016-04-12,462
2016-04-13,317
2016-04-14,314
2016-04-15,343
2016-04-16,400
2016-04-17,445
2016-04-18,530
2016-04-19,581
2016-04-20,559
2016-04-21,567
2016-04-22,572
2016-04-23,480
2016-04-24,432
2016-04-25,421
2016-04-26,445
2016-04-27,434
2016-04-28,382
2016-04-29,352
2016-04-30,430
2016-05-01,405
