date,fishing
2016-01-01,11
2016-01-02,23
2016-01-03,19
2016-01-04,36
2016-01-05,14
2016-01-06,6
2016-01-07,7
2016-01-08,9
2016-01-09,19
2016-01-10,19
2016-01-11,14
2016-01-12,20
2016-01-13,23
2016-01-14,26
2016-01-15,35
2016-01-16,19
2016-01-17,27
2016-01-18,31
2016-01-19,20
2016-01-20,8
2016-01-21,3
2016-01-22,34
2016-01-23,17
2016-01-24,26
2016-01-25,21
2016-01-26,40
2016-01-27,40
2016-01-28,47
2016-01-29,57
2016-01-30,33
2016-01-31,53
2016-02-01,70
2016-02-02,70
2016-02-03,49
2016-02-04,61
2016-02-05,57
2016-02-06,2
2016-02-07,5
2016-02-08,7
2016-02-09,24
2016-02-10,18
2016-02-11,6
2016-02-12,9
2016-02-13,13
2016-02-14,17
2016-02-15,8
2016-02-16,12
2016-02-17,28
2016-02-18,8
2016-02-19,24
2016-02-20,29
2016-02-21,34
2016-02-22,39
2016-02-23,28
2016-02-24,15
2016-02-25,32
2016-02-26,30
2016-02-27,32
2016-02-28,35
2016-02-29,19
2016-03-01,22
2016-03-02,52
2016-03-03,28
2016-03-04,18
2016-03-05,7
2016-03-06,14
2016-03-07,25
2016-03-08,22
2016-03-09,22
2016-03-10,16
2016-03-11,12
2016-03-12,33
2016-03-13,22
2016-03-14,3
2016-03-15,9
2016-03-16,19
2016-03-17,11
2016-03-18,19
2016-03-19,21
2016-03-20,22
2016-03-21,20
2016-03-22,16
2016-03-23,28
2016-03-24,27
2016-03-25,15
2016-03-26,16
2016-03-27,17
2016-03-28,25
2016-03-29,30
2016-03-30,16
2016-03-31,0
2016-04-01,1
2016-04-02,12
2016-04-03,27
2016-04-04,22
2016-04-05,29
2016-04-06,23
2016-04-07,33
2016-04-08,17
2016-04-09,28
2016-04-10,31
2016-04-11,47
2016-04-12,27
2016-04-13,19
2016-04-14,33
2016-04-15,29
2016-04-16,36
2016-04-17,28
2016-04-18,37
2016-04-19,38
2016-04-20,40
2016-04-21,26
2016-04-22,23
2016-04-23,22
2016-04-24,9
2016-04-25,4
2016-04-26,6
2016-04-27,5
2016-04-28,0
2016-04-29,13
2016-04-30,12
2016-05-01,6
2016-05-02,18
2016-05-03,0
2016-05-04,12
2016-05-05,24
2016-05-06,20
2016-05-07,12
2016-05-08,8
2016-05-09,2
2016-05-10,9
2016-05-11,11
2016-05-12,8
