date,fishing
2016-01-01,6
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,25
2016-01-06,30
2016-01-07,75
2016-01-08,56
2016-01-09,97
2016-01-10,123
2016-01-11,127
2016-01-12,113
2016-01-13,116
2016-01-14,139
2016-01-15,109
2016-01-16,131
2016-01-17,102
2016-01-18,80
2016-01-19,69
2016-01-20,69
2016-01-21,67
2016-01-22,70
2016-01-23,84
2016-01-24,116
2016-01-25,76
2016-01-26,100
2016-01-27,101
2016-01-28,103
2016-01-29,134
2016-01-30,99
2016-01-31,77
2016-02-01,80
2016-02-02,73
2016-02-03,94
2016-02-04,41
2016-02-05,67
2016-02-06,50
2016-02-07,28
2016-02-08,1
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,51
2016-02-13,91
2016-02-14,107
2016-02-15,106
2016-02-16,121
2016-02-17,148
2016-02-18,164
2016-02-19,173
2016-02-20,168
2016-02-21,123
2016-02-22,83
2016-02-23,72
2016-02-24,51
2016-02-25,21
2016-02-26,7
2016-02-27,8
2016-02-28,34
2016-02-29,63
2016-03-01,90
2016-03-02,90
2016-03-03,86
2016-03-04,91
2016-03-05,112
2016-03-06,112
2016-03-07,116
2016-03-08,90
2016-03-09,51
2016-03-10,35
2016-03-11,40
2016-03-12,18
2016-03-13,12
2016-03-14,46
2016-03-15,26
2016-03-16,26
2016-03-17,39
2016-03-18,78
2016-03-19,99
2016-03-20,152
2016-03-21,159
2016-03-22,151
2016-03-23,119
2016-03-24,120
2016-03-25,106
2016-03-26,117
2016-03-27,86
2016-03-28,58
2016-03-29,70
2016-03-30,74
2016-03-31,59
2016-04-01,74
2016-04-02,84
2016-04-03,90
2016-04-04,69
2016-04-05,97
2016-04-06,83
2016-04-07,67
2016-04-08,68
2016-04-09,49
2016-04-10,44
2016-04-11,61
2016-04-12,63
2016-04-13,59
2016-04-14,69
2016-04-15,82
2016-04-16,102
2016-04-17,115
2016-04-18,125
2016-04-19,136
2016-04-20,131
2016-04-21,156
2016-04-22,170
2016-04-23,131
2016-04-24,156
2016-04-25,129
2016-04-26,102
2016-04-27,106
2016-04-28,102
2016-04-29,98
2016-04-30,96
2016-05-01,65
2016-05-02,60
2016-05-03,80
2016-05-04,66
2016-05-05,73
2016-05-06,78
2016-05-07,73
2016-05-08,70
2016-05-09,84
2016-05-10,56
2016-05-11,26
2016-05-12,21
2016-05-13,0
2016-05-14,11
2016-05-15,29
2016-05-16,50
2016-05-17,41
2016-05-18,67
2016-05-19,42
2016-05-20,16
2016-05-21,72
2016-05-22,138
2016-05-23,150
2016-05-24,160
2016-05-25,134
2016-05-26,137
2016-05-27,131
2016-05-28,128
2016-05-29,129
2016-05-30,88
2016-05-31,38
2016-06-01,37
2016-06-02,42
2016-06-03,49
2016-06-04,55
2016-06-05,50
2016-06-06,55
2016-06-07,64
2016-06-08,69
2016-06-09,80
2016-06-10,104
2016-06-11,127
2016-06-12,115
2016-06-13,105
2016-06-14,79
2016-06-15,94
2016-06-16,109
2016-06-17,163
2016-06-18,147
2016-06-19,143
2016-06-20,138
2016-06-21,170
2016-06-22,106
2016-06-23,113
2016-06-24,104
2016-06-25,110
2016-06-26,76
2016-06-27,80
2016-06-28,95
2016-06-29,87
2016-06-30,53
2016-07-01,95
2016-07-02,95
2016-07-03,96
2016-07-04,93
2016-07-05,85
2016-07-06,94
2016-07-07,100
2016-07-08,112
2016-07-09,106
2016-07-10,111
2016-07-11,133
2016-07-12,109
2016-07-13,84
2016-07-14,30
2016-07-15,45
2016-07-16,72
2016-07-17,75
2016-07-18,68
2016-07-19,48
2016-07-20,66
2016-07-21,52
2016-07-22,77
2016-07-23,64
2016-07-24,84
2016-07-25,111
2016-07-26,123
2016-07-27,142
2016-07-28,114
2016-07-29,117
2016-07-30,170
2016-07-31,162
2016-08-01,172
2016-08-02,103
2016-08-03,92
2016-08-04,90
2016-08-05,77
2016-08-06,75
2016-08-07,69
2016-08-08,70
2016-08-09,56
2016-08-10,35
2016-08-11,50
2016-08-12,49
2016-08-13,68
2016-08-14,91
2016-08-15,90
2016-08-16,99
2016-08-17,99
2016-08-18,99
2016-08-19,107
2016-08-20,109
2016-08-21,102
2016-08-22,82
2016-08-23,71
2016-08-24,37
2016-08-25,59
2016-08-26,75
2016-08-27,107
2016-08-28,112
2016-08-29,88
2016-08-30,100
2016-08-31,93
2016-09-01,58
2016-09-02,86
2016-09-03,107
2016-09-04,86
2016-09-05,83
2016-09-06,66
2016-09-07,58
2016-09-08,104
2016-09-09,113
2016-09-10,150
2016-09-11,144
2016-09-12,114
2016-09-13,90
2016-09-14,115
2016-09-15,120
2016-09-16,162
2016-09-17,140
2016-09-18,140
2016-09-19,161
2016-09-20,119
2016-09-21,90
2016-09-22,89
2016-09-23,68
2016-09-24,68
2016-09-25,98
2016-09-26,114
2016-09-27,108
2016-09-28,91
2016-09-29,68
2016-09-30,105
2016-10-01,142
2016-10-02,157
2016-10-03,111
2016-10-04,80
2016-10-05,91
2016-10-06,140
2016-10-07,124
2016-10-08,140
2016-10-09,165
2016-10-10,103
2016-10-11,114
2016-10-12,131
2016-10-13,165
2016-10-14,159
2016-10-15,140
2016-10-16,147
2016-10-17,148
2016-10-18,167
2016-10-19,181
2016-10-20,151
2016-10-21,116
2016-10-22,147
2016-10-23,128
2016-10-24,117
2016-10-25,105
2016-10-26,81
2016-10-27,96
2016-10-28,121
2016-10-29,123
2016-10-30,89
2016-10-31,104
2016-11-01,74
2016-11-02,89
2016-11-03,109
2016-11-04,99
2016-11-05,121
2016-11-06,142
2016-11-07,157
2016-11-08,147
2016-11-09,126
2016-11-10,197
2016-11-11,184
2016-11-12,178
2016-11-13,125
2016-11-14,100
2016-11-15,122
2016-11-16,98
2016-11-17,99
2016-11-18,92
2016-11-19,89
2016-11-20,101
2016-11-21,118
2016-11-22,88
2016-11-23,116
2016-11-24,145
2016-11-25,127
2016-11-26,92
2016-11-27,94
2016-11-28,92
2016-11-29,104
2016-11-30,132
2016-12-01,76
2016-12-02,64
2016-12-03,64
2016-12-04,88
2016-12-05,123
2016-12-06,171
2016-12-07,195
2016-12-08,174
2016-12-09,155
2016-12-10,140
2016-12-11,98
2016-12-12,90
2016-12-13,94
2016-12-14,103
2016-12-15,125
2016-12-16,117
2016-12-17,97
2016-12-18,60
2016-12-19,66
2016-12-20,66
2016-12-21,47
2016-12-22,23
2016-12-23,48
2016-12-24,32
2016-12-25,16
2016-12-26,15
2016-12-27,47
2016-12-28,46
2016-12-29,28
2016-12-30,4
2016-12-31,0
