date,fishing
2016-01-07,0
2016-01-08,0
2016-01-09,1
2016-01-10,27
2016-01-11,20
2016-01-12,0
2016-01-13,1
2016-01-14,8
2016-01-15,9
2016-01-16,22
2016-01-17,30
2016-01-18,23
2016-01-19,0
2016-01-20,0
2016-01-21,22
2016-01-22,22
2016-01-23,12
2016-01-24,6
2016-01-25,13
2016-01-26,12
2016-01-27,19
2016-01-28,9
2016-01-29,4
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,1
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,24
2016-04-07,10
2016-04-08,0
2016-04-09,16
2016-04-10,12
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,15
2016-04-17,10
2016-04-18,16
2016-04-19,9
2016-04-20,5
2016-04-21,12
2016-04-22,13
2016-04-23,23
2016-04-24,11
2016-04-25,18
2016-04-26,23
2016-04-27,18
2016-04-28,9
2016-04-29,11
2016-04-30,10
2016-05-01,17
2016-05-02,3
2016-05-03,11
2016-05-04,14
2016-05-05,6
2016-05-06,1
2016-05-07,17
2016-05-08,20
2016-05-09,12
2016-05-10,1
2016-05-11,6
2016-05-12,13
2016-05-13,13
2016-05-14,3
2016-05-15,10
2016-05-16,0
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,9
2016-05-21,30
2016-05-22,13
2016-05-23,41
2016-05-24,0
2016-05-25,38
2016-05-26,11
2016-05-27,13
2016-05-28,0
2016-05-29,7
2016-05-30,15
2016-05-31,3
2016-06-01,12
2016-06-02,5
2016-06-03,15
2016-06-04,18
2016-06-05,0
2016-06-06,4
2016-06-07,20
2016-06-08,26
2016-06-09,20
2016-06-10,26
2016-06-11,24
2016-06-12,25
