date,fishing
2016-01-01,187
2016-01-02,148
2016-01-03,171
2016-01-04,207
2016-01-05,158
2016-01-06,262
2016-01-07,240
2016-01-08,219
2016-01-09,200
2016-01-10,266
2016-01-11,233
2016-01-12,230
2016-01-13,277
2016-01-14,248
2016-01-15,285
2016-01-16,242
2016-01-17,228
2016-01-18,189
2016-01-19,156
2016-01-20,191
2016-01-21,176
2016-01-22,191
2016-01-23,242
2016-01-24,214
2016-01-25,140
2016-01-26,151
2016-01-27,195
2016-01-28,174
2016-01-29,223
2016-01-30,228
2016-01-31,277
2016-02-01,241
2016-02-02,248
2016-02-03,210
2016-02-04,144
2016-02-05,240
2016-02-06,207
2016-02-07,164
2016-02-08,152
2016-02-09,189
2016-02-10,237
2016-02-11,248
2016-02-12,210
2016-02-13,205
2016-02-14,190
2016-02-15,207
2016-02-16,209
2016-02-17,195
2016-02-18,243
2016-02-19,233
2016-02-20,212
2016-02-21,152
2016-02-22,145
2016-02-23,220
2016-02-24,186
2016-02-25,251
2016-02-26,241
2016-02-27,213
2016-02-28,177
2016-02-29,227
2016-03-01,210
2016-03-02,187
2016-03-03,174
2016-03-04,204
2016-03-05,191
2016-03-06,160
2016-03-07,139
2016-03-08,99
2016-03-09,118
2016-03-10,71
2016-03-11,124
2016-03-12,131
2016-03-13,148
2016-03-14,133
2016-03-15,190
2016-03-16,237
2016-03-17,286
2016-03-18,262
2016-03-19,222
2016-03-20,224
2016-03-21,236
2016-03-22,243
2016-03-23,194
2016-03-24,250
2016-03-25,197
2016-03-26,226
2016-03-27,260
2016-03-28,281
2016-03-29,247
2016-03-30,285
2016-03-31,211
2016-04-01,250
2016-04-02,314
2016-04-03,244
2016-04-04,244
2016-04-05,188
2016-04-06,216
2016-04-07,254
2016-04-08,279
2016-04-09,287
2016-04-10,230
2016-04-11,212
2016-04-12,197
2016-04-13,218
2016-04-14,253
2016-04-15,261
2016-04-16,244
2016-04-17,269
2016-04-18,255
2016-04-19,290
2016-04-20,302
2016-04-21,253
2016-04-22,242
2016-04-23,238
2016-04-24,270
2016-04-25,224
2016-04-26,247
2016-04-27,244
2016-04-28,247
2016-04-29,224
2016-04-30,219
2016-05-01,234
2016-05-02,273
2016-05-03,227
2016-05-04,242
2016-05-05,229
2016-05-06,289
2016-05-07,293
2016-05-08,298
2016-05-09,229
2016-05-10,211
2016-05-11,322
2016-05-12,276
2016-05-13,212
2016-05-14,190
2016-05-15,250
2016-05-16,289
2016-05-17,306
2016-05-18,250
2016-05-19,314
2016-05-20,294
2016-05-21,209
2016-05-22,259
2016-05-23,235
2016-05-24,201
2016-05-25,246
2016-05-26,234
2016-05-27,207
2016-05-28,298
2016-05-29,292
2016-05-30,254
2016-05-31,249
2016-06-01,228
2016-06-02,321
2016-06-03,166
2016-06-04,110
2016-06-05,136
2016-06-06,161
2016-06-07,264
2016-06-08,261
2016-06-09,236
2016-06-10,164
2016-06-11,196
2016-06-12,228
2016-06-13,220
2016-06-14,232
2016-06-15,257
2016-06-16,205
2016-06-17,242
2016-06-18,177
2016-06-19,230
2016-06-20,220
2016-06-21,253
2016-06-22,293
2016-06-23,278
2016-06-24,250
2016-06-25,212
2016-06-26,257
2016-06-27,261
2016-06-28,292
2016-06-29,230
2016-06-30,202
2016-07-01,280
2016-07-02,234
2016-07-03,225
2016-07-04,216
2016-07-05,222
2016-07-06,252
2016-07-07,279
2016-07-08,278
2016-07-09,321
2016-07-10,311
2016-07-11,294
2016-07-12,291
2016-07-13,250
2016-07-14,337
2016-07-15,306
2016-07-16,310
2016-07-17,314
2016-07-18,293
2016-07-19,300
2016-07-20,288
2016-07-21,236
2016-07-22,253
2016-07-23,284
2016-07-24,273
2016-07-25,249
2016-07-26,224
2016-07-27,269
2016-07-28,290
2016-07-29,319
2016-07-30,293
2016-07-31,287
2016-08-01,272
2016-08-02,303
2016-08-03,293
2016-08-04,284
2016-08-05,307
2016-08-06,240
2016-08-07,211
2016-08-08,272
2016-08-09,240
2016-08-10,246
2016-08-11,287
2016-08-12,294
2016-08-13,323
2016-08-14,294
2016-08-15,274
2016-08-16,255
2016-08-17,249
2016-08-18,265
2016-08-19,242
2016-08-20,285
2016-08-21,304
2016-08-22,268
2016-08-23,259
2016-08-24,183
2016-08-25,144
2016-08-26,181
2016-08-27,254
2016-08-28,249
2016-08-29,259
2016-08-30,294
2016-08-31,300
2016-09-01,276
2016-09-02,217
2016-09-03,298
2016-09-04,269
2016-09-05,252
2016-09-06,277
2016-09-07,279
2016-09-08,267
2016-09-09,218
2016-09-10,258
2016-09-11,261
2016-09-12,243
2016-09-13,221
2016-09-14,271
2016-09-15,231
2016-09-16,195
2016-09-17,215
2016-09-18,240
2016-09-19,224
