date,fishing
2016-01-01,242
2016-01-02,586
2016-01-03,760
2016-01-04,687
2016-01-05,982
2016-01-06,1098
2016-01-07,566
2016-01-08,357
2016-01-09,928
2016-01-10,1078
2016-01-11,1116
2016-01-12,828
2016-01-13,686
2016-01-14,619
2016-01-15,1050
2016-01-16,826
2016-01-17,755
2016-01-18,588
2016-01-19,306
2016-01-20,902
2016-01-21,1455
2016-01-22,936
2016-01-23,253
2016-01-24,183
2016-01-25,446
2016-01-26,1105
2016-01-27,1298
2016-01-28,1252
2016-01-29,1082
2016-01-30,1233
2016-01-31,1183
2016-02-01,1244
2016-02-02,1148
2016-02-03,1112
2016-02-04,1084
2016-02-05,881
2016-02-06,197
2016-02-07,301
2016-02-08,1179
2016-02-09,1469
2016-02-10,1084
2016-02-11,1102
2016-02-12,931
2016-02-13,735
2016-02-14,815
2016-02-15,991
2016-02-16,1491
2016-02-17,1643
2016-02-18,1147
2016-02-19,905
2016-02-20,944
2016-02-21,715
2016-02-22,1004
2016-02-23,1469
2016-02-24,1178
2016-02-25,1135
2016-02-26,927
2016-02-27,1147
2016-02-28,1132
2016-02-29,918
2016-03-01,1006
2016-03-02,1339
2016-03-03,1138
2016-03-04,826
2016-03-05,1264
2016-03-06,1583
2016-03-07,1401
2016-03-08,1404
2016-03-09,1381
2016-03-10,921
2016-03-11,1113
2016-03-12,1740
2016-03-13,1228
2016-03-14,442
2016-03-15,261
2016-03-16,1145
2016-03-17,1445
2016-03-18,1443
2016-03-19,1215
2016-03-20,1258
2016-03-21,1244
2016-03-22,1176
2016-03-23,722
2016-03-24,511
2016-03-25,547
2016-03-26,925
2016-03-27,1332
2016-03-28,1163
2016-03-29,1195
2016-03-30,1430
2016-03-31,1648
2016-04-01,1369
2016-04-02,1290
2016-04-03,1696
2016-04-04,1597
2016-04-05,1537
2016-04-06,1658
2016-04-07,1451
2016-04-08,814
2016-04-09,652
2016-04-10,727
2016-04-11,923
2016-04-12,722
2016-04-13,794
2016-04-14,413
2016-04-15,211
2016-04-16,347
2016-04-17,291
2016-04-18,185
2016-04-19,235
2016-04-20,199
2016-04-21,63
2016-04-22,394
2016-04-23,510
2016-04-24,546
2016-04-25,206
2016-04-26,155
2016-04-27,85
2016-04-28,156
2016-04-29,156
2016-04-30,414
2016-05-01,172
2016-05-02,196
2016-05-03,52
2016-05-04,50
2016-05-05,92
2016-05-06,63
2016-05-07,159
2016-05-08,127
2016-05-09,94
2016-05-10,232
2016-05-11,168
2016-05-12,89
2016-05-13,4
2016-05-14,60
2016-05-15,30
2016-05-16,1
2016-05-17,12
2016-05-18,87
2016-05-19,106
2016-05-20,85
2016-05-21,145
2016-05-22,147
2016-05-23,27
2016-05-24,67
2016-05-25,52
2016-05-26,53
2016-05-27,92
2016-05-28,74
2016-05-29,85
2016-05-30,205
2016-05-31,323
2016-06-01,290
2016-06-02,396
2016-06-03,286
2016-06-04,262
2016-06-05,204
2016-06-06,61
2016-06-07,135
2016-06-08,105
2016-06-09,19
2016-06-10,160
2016-06-11,271
2016-06-12,415
2016-06-13,541
2016-06-14,567
2016-06-15,339
2016-06-16,261
2016-06-17,246
2016-06-18,283
2016-06-19,385
2016-06-20,374
2016-06-21,593
2016-06-22,575
2016-06-23,433
2016-06-24,358
2016-06-25,406
2016-06-26,230
2016-06-27,134
2016-06-28,120
2016-06-29,101
2016-06-30,124
2016-07-01,223
2016-07-02,244
2016-07-03,133
2016-07-04,107
2016-07-05,97
2016-07-06,74
2016-07-07,161
2016-07-08,217
2016-07-09,194
2016-07-10,142
2016-07-11,73
2016-07-12,111
2016-07-13,82
2016-07-14,42
2016-07-15,330
2016-07-16,82
2016-07-17,270
2016-07-18,103
2016-07-19,7
2016-07-20,69
2016-07-21,317
2016-07-22,524
2016-07-23,501
2016-07-24,366
2016-07-25,189
2016-07-26,191
2016-07-27,182
2016-07-28,158
2016-07-29,173
2016-07-30,282
2016-07-31,278
2016-08-01,329
2016-08-02,461
2016-08-03,328
2016-08-04,109
2016-08-05,118
2016-08-06,242
2016-08-07,312
2016-08-08,314
2016-08-09,167
2016-08-10,131
2016-08-11,195
2016-08-12,147
2016-08-13,48
2016-08-14,25
2016-08-15,63
2016-08-16,166
2016-08-17,366
2016-08-18,449
2016-08-19,291
2016-08-20,68
2016-08-21,169
2016-08-22,349
2016-08-23,214
2016-08-24,46
2016-08-25,28
2016-08-26,54
2016-08-27,13
2016-08-28,79
2016-08-29,179
2016-08-30,198
2016-08-31,228
2016-09-01,1266
2016-09-02,1130
2016-09-03,1227
2016-09-04,1129
2016-09-05,1252
2016-09-06,1618
2016-09-07,1617
2016-09-08,1432
2016-09-09,1110
2016-09-10,644
2016-09-11,362
2016-09-12,126
2016-09-13,468
2016-09-14,707
2016-09-15,1272
2016-09-16,1319
2016-09-17,1869
2016-09-18,1716
2016-09-19,943
2016-09-20,1036
2016-09-21,980
2016-09-22,1109
2016-09-23,1088
2016-09-24,1311
2016-09-25,1178
2016-09-26,1175
2016-09-27,1168
2016-09-28,917
2016-09-29,1135
2016-09-30,1269
2016-10-01,1395
2016-10-02,1708
2016-10-03,1844
2016-10-04,1858
2016-10-05,1311
2016-10-06,1517
2016-10-07,1651
2016-10-08,1729
2016-10-09,1383
2016-10-10,1578
2016-10-11,1169
2016-10-12,1434
2016-10-13,1256
2016-10-14,1024
2016-10-15,1459
2016-10-16,1320
2016-10-17,1015
2016-10-18,1214
2016-10-19,1602
2016-10-20,1635
2016-10-21,1656
2016-10-22,1721
2016-10-23,1483
2016-10-24,947
2016-10-25,882
2016-10-26,1122
2016-10-27,1114
2016-10-28,910
2016-10-29,1257
2016-10-30,1071
2016-10-31,885
2016-11-01,1027
2016-11-02,1224
2016-11-03,1297
2016-11-04,1396
2016-11-05,1828
2016-11-06,1517
2016-11-07,1066
2016-11-08,1001
2016-11-09,1066
2016-11-10,776
2016-11-11,1277
2016-11-12,1247
2016-11-13,868
2016-11-14,657
2016-11-15,812
2016-11-16,570
2016-11-17,858
2016-11-18,1002
2016-11-19,1254
2016-11-20,1233
2016-11-21,1334
2016-11-22,1313
2016-11-23,1152
2016-11-24,1217
2016-11-25,1083
