date,fishing
2016-01-01,5466
2016-01-02,5428
2016-01-03,5130
2016-01-04,5180
2016-01-05,4794
2016-01-06,4896
2016-01-07,4541
2016-01-08,4321
2016-01-09,5105
2016-01-10,5259
2016-01-11,4498
2016-01-12,4896
2016-01-13,4984
2016-01-14,5214
2016-01-15,5496
2016-01-16,4906
2016-01-17,4695
2016-01-18,4499
2016-01-19,4540
2016-01-20,5280
2016-01-21,4622
2016-01-22,3999
2016-01-23,4416
2016-01-24,4625
2016-01-25,4480
2016-01-26,5589
2016-01-27,5589
2016-01-28,5496
2016-01-29,4923
2016-01-30,4992
2016-01-31,4990
2016-02-01,4558
2016-02-02,5049
2016-02-03,5148
2016-02-04,4536
2016-02-05,3643
2016-02-06,4025
2016-02-07,4441
2016-02-08,4333
2016-02-09,4679
2016-02-10,4608
2016-02-11,4425
2016-02-12,5084
2016-02-13,5306
2016-02-14,4514
2016-02-15,4180
2016-02-16,5001
2016-02-17,5543
2016-02-18,5328
2016-02-19,4979
2016-02-20,4818
2016-02-21,5127
2016-02-22,5319
2016-02-23,4667
2016-02-24,4612
2016-02-25,5388
2016-02-26,5349
2016-02-27,5451
2016-02-28,5482
2016-02-29,4562
2016-03-01,5167
2016-03-02,5654
2016-03-03,5566
2016-03-04,5592
2016-03-05,5620
2016-03-06,5475
2016-03-07,5242
2016-03-08,4865
2016-03-09,4521
2016-03-10,4226
2016-03-11,4467
2016-03-12,5029
2016-03-13,4715
2016-03-14,4278
2016-03-15,4844
2016-03-16,5400
2016-03-17,5436
2016-03-18,5052
2016-03-19,4610
2016-03-20,5040
2016-03-21,5136
2016-03-22,5281
2016-03-23,4884
2016-03-24,4752
2016-03-25,4724
2016-03-26,5052
2016-03-27,5447
2016-03-28,5788
2016-03-29,5933
2016-03-30,5421
2016-03-31,5213
2016-04-01,5133
2016-04-02,5235
2016-04-03,4550
2016-04-04,4919
2016-04-05,4954
2016-04-06,5352
2016-04-07,5349
2016-04-08,5706
2016-04-09,5579
2016-04-10,5484
2016-04-11,5406
2016-04-12,5451
2016-04-13,5399
2016-04-14,5565
2016-04-15,5836
2016-04-16,5615
2016-04-17,5396
2016-04-18,5334
2016-04-19,6012
2016-04-20,6304
2016-04-21,5805
2016-04-22,5725
2016-04-23,6062
2016-04-24,6005
2016-04-25,6281
2016-04-26,5891
2016-04-27,5589
2016-04-28,5670
2016-04-29,5818
2016-04-30,5866
2016-05-01,6176
2016-05-02,6138
2016-05-03,6010
2016-05-04,6189
2016-05-05,6149
2016-05-06,6479
2016-05-07,6434
2016-05-08,6211
2016-05-09,6349
2016-05-10,5803
2016-05-11,6012
2016-05-12,6210
2016-05-13,6549
2016-05-14,6533
2016-05-15,6302
2016-05-16,5386
2016-05-17,5824
2016-05-18,6025
2016-05-19,6307
2016-05-20,6447
2016-05-21,6636
2016-05-22,6440
2016-05-23,6444
2016-05-24,6511
2016-05-25,6460
2016-05-26,6270
2016-05-27,6153
2016-05-28,6456
2016-05-29,6205
2016-05-30,6113
2016-05-31,6014
2016-06-01,5952
2016-06-02,6016
2016-06-03,5772
2016-06-04,5942
2016-06-05,6127
2016-06-06,6127
2016-06-07,6445
2016-06-08,6363
2016-06-09,6182
2016-06-10,6223
2016-06-11,5896
2016-06-12,6228
2016-06-13,5984
2016-06-14,6130
2016-06-15,6447
2016-06-16,6512
2016-06-17,6644
2016-06-18,7074
2016-06-19,7110
2016-06-20,6786
2016-06-21,6873
2016-06-22,6700
2016-06-23,6835
2016-06-24,6868
2016-06-25,6481
2016-06-26,6243
2016-06-27,6242
2016-06-28,5908
2016-06-29,5994
2016-06-30,6290
2016-07-01,6318
2016-07-02,6291
2016-07-03,6388
2016-07-04,6197
2016-07-05,6715
2016-07-06,6112
2016-07-07,5695
2016-07-08,5866
2016-07-09,6119
2016-07-10,6348
2016-07-11,6756
2016-07-12,6948
2016-07-13,6934
2016-07-14,6650
2016-07-15,7333
2016-07-16,6996
2016-07-17,7116
2016-07-18,6806
2016-07-19,6317
2016-07-20,6992
2016-07-21,7372
2016-07-22,7922
2016-07-23,7575
2016-07-24,7599
2016-07-25,7243
2016-07-26,7364
2016-07-27,7012
2016-07-28,7261
2016-07-29,7242
2016-07-30,6819
2016-07-31,6747
2016-08-01,6327
2016-08-02,6766
2016-08-03,7269
2016-08-04,7382
2016-08-05,7101
2016-08-06,7127
2016-08-07,6721
2016-08-08,6727
2016-08-09,6934
2016-08-10,7311
2016-08-11,6934
2016-08-12,6867
2016-08-13,6984
2016-08-14,6888
2016-08-15,6526
2016-08-16,6756
2016-08-17,6715
2016-08-18,7272
2016-08-19,7263
2016-08-20,7338
2016-08-21,7352
2016-08-22,7561
2016-08-23,7864
2016-08-24,8244
2016-08-25,8212
2016-08-26,7745
2016-08-27,7166
2016-08-28,6608
2016-08-29,6996
2016-08-30,7829
2016-08-31,7862
2016-09-01,7849
2016-09-02,7221
2016-09-03,6961
2016-09-04,7178
2016-09-05,6925
2016-09-06,7138
2016-09-07,6872
2016-09-08,7119
2016-09-09,7439
2016-09-10,6938
2016-09-11,6757
2016-09-12,5875
2016-09-13,5111
2016-09-14,5737
2016-09-15,5434
2016-09-16,5987
2016-09-17,6174
2016-09-18,6001
2016-09-19,6000
2016-09-20,5857
2016-09-21,6498
2016-09-22,6575
2016-09-23,6386
2016-09-24,6157
2016-09-25,5485
2016-09-26,5059
2016-09-27,5058
2016-09-28,5256
2016-09-29,5589
2016-09-30,5881
2016-10-01,6041
2016-10-02,5989
2016-10-03,5918
2016-10-04,6478
2016-10-05,5561
2016-10-06,5508
2016-10-07,5709
2016-10-08,5699
2016-10-09,5764
