date,fishing
2016-01-01,94
2016-01-02,166
2016-01-03,98
2016-01-04,153
2016-01-05,167
2016-01-06,149
2016-01-07,166
2016-01-08,157
2016-01-09,176
2016-01-10,133
2016-01-11,159
2016-01-12,106
2016-01-13,139
2016-01-14,163
2016-01-15,196
2016-01-16,190
2016-01-17,179
2016-01-18,111
2016-01-19,123
2016-01-20,157
2016-01-21,69
2016-01-22,79
2016-01-23,103
2016-01-24,103
2016-01-25,126
2016-01-26,115
2016-01-27,90
2016-01-28,126
2016-01-29,123
2016-01-30,114
2016-01-31,97
2016-02-01,87
2016-02-02,101
2016-02-03,129
2016-02-04,99
2016-02-05,116
2016-02-06,83
2016-02-07,53
2016-02-08,88
2016-02-09,117
2016-02-10,122
2016-02-11,78
2016-02-12,57
2016-02-13,70
2016-02-14,140
2016-02-15,174
2016-02-16,117
2016-02-17,105
2016-02-18,62
2016-02-19,69
2016-02-20,77
2016-02-21,136
2016-02-22,124
2016-02-23,71
2016-02-24,131
2016-02-25,106
2016-02-26,104
2016-02-27,89
2016-02-28,97
2016-02-29,108
2016-03-01,153
2016-03-02,158
2016-03-03,209
2016-03-04,203
2016-03-05,166
2016-03-06,198
2016-03-07,136
2016-03-08,113
2016-03-09,107
2016-03-10,94
2016-03-11,95
2016-03-12,108
2016-03-13,133
2016-03-14,117
2016-03-15,124
2016-03-16,132
2016-03-17,132
2016-03-18,137
2016-03-19,116
2016-03-20,95
2016-03-21,96
2016-03-22,93
2016-03-23,84
2016-03-24,84
2016-03-25,92
2016-03-26,157
2016-03-27,117
2016-03-28,133
2016-03-29,163
2016-03-30,177
2016-03-31,131
2016-04-01,107
2016-04-02,110
2016-04-03,102
2016-04-04,133
2016-04-05,115
2016-04-06,119
2016-04-07,116
2016-04-08,71
2016-04-09,76
2016-04-10,98
2016-04-11,132
2016-04-12,110
2016-04-13,111
2016-04-14,89
2016-04-15,110
2016-04-16,80
2016-04-17,84
2016-04-18,81
2016-04-19,52
2016-04-20,119
2016-04-21,91
2016-04-22,89
2016-04-23,116
2016-04-24,152
2016-04-25,191
2016-04-26,207
2016-04-27,150
2016-04-28,150
2016-04-29,65
2016-04-30,80
2016-05-01,61
2016-05-02,119
2016-05-03,71
2016-05-04,133
2016-05-05,115
2016-05-06,110
2016-05-07,124
2016-05-08,60
2016-05-09,97
2016-05-10,61
2016-05-11,38
2016-05-12,75
2016-05-13,123
2016-05-14,98
