date,fishing
2016-01-01,649
2016-01-02,554
2016-01-03,639
2016-01-04,601
2016-01-05,553
2016-01-06,628
2016-01-07,560
2016-01-08,428
2016-01-09,494
2016-01-10,537
2016-01-11,485
2016-01-12,552
2016-01-13,571
2016-01-14,507
2016-01-15,604
2016-01-16,589
2016-01-17,514
2016-01-18,448
2016-01-19,462
2016-01-20,515
2016-01-21,421
2016-01-22,501
2016-01-23,590
2016-01-24,585
2016-01-25,536
2016-01-26,558
2016-01-27,601
2016-01-28,513
2016-01-29,477
2016-01-30,543
2016-01-31,547
2016-02-01,537
2016-02-02,597
2016-02-03,594
2016-02-04,510
2016-02-05,516
2016-02-06,597
2016-02-07,590
2016-02-08,586
2016-02-09,610
2016-02-10,550
2016-02-11,536
2016-02-12,629
2016-02-13,643
2016-02-14,570
2016-02-15,664
2016-02-16,636
2016-02-17,633
2016-02-18,638
2016-02-19,659
2016-02-20,681
2016-02-21,635
2016-02-22,669
2016-02-23,654
2016-02-24,674
2016-02-25,620
2016-02-26,550
2016-02-27,573
2016-02-28,574
2016-02-29,576
2016-03-01,630
2016-03-02,621
2016-03-03,636
2016-03-04,587
2016-03-05,632
2016-03-06,629
2016-03-07,627
2016-03-08,544
2016-03-09,580
2016-03-10,537
2016-03-11,503
2016-03-12,532
2016-03-13,488
2016-03-14,511
2016-03-15,467
2016-03-16,549
2016-03-17,485
2016-03-18,469
2016-03-19,460
2016-03-20,538
2016-03-21,544
2016-03-22,494
2016-03-23,420
2016-03-24,433
2016-03-25,453
2016-03-26,525
2016-03-27,516
2016-03-28,481
2016-03-29,447
2016-03-30,447
2016-03-31,467
2016-04-01,446
2016-04-02,398
2016-04-03,410
2016-04-04,393
2016-04-05,319
2016-04-06,347
2016-04-07,338
2016-04-08,459
2016-04-09,396
2016-04-10,464
2016-04-11,481
2016-04-12,427
2016-04-13,422
2016-04-14,445
2016-04-15,485
2016-04-16,420
2016-04-17,421
2016-04-18,408
2016-04-19,454
2016-04-20,463
2016-04-21,442
2016-04-22,462
2016-04-23,460
2016-04-24,459
2016-04-25,425
2016-04-26,430
2016-04-27,477
2016-04-28,464
2016-04-29,473
2016-04-30,452
2016-05-01,453
2016-05-02,476
2016-05-03,447
2016-05-04,415
2016-05-05,337
2016-05-06,420
2016-05-07,481
2016-05-08,511
2016-05-09,553
2016-05-10,512
2016-05-11,512
2016-05-12,459
2016-05-13,590
2016-05-14,603
2016-05-15,551
2016-05-16,543
2016-05-17,584
2016-05-18,612
2016-05-19,561
2016-05-20,566
2016-05-21,546
2016-05-22,570
2016-05-23,581
2016-05-24,626
2016-05-25,587
2016-05-26,574
2016-05-27,552
2016-05-28,619
2016-05-29,646
2016-05-30,682
2016-05-31,717
2016-06-01,644
2016-06-02,623
2016-06-03,661
2016-06-04,635
2016-06-05,578
2016-06-06,631
2016-06-07,598
2016-06-08,552
2016-06-09,513
2016-06-10,460
2016-06-11,514
2016-06-12,660
2016-06-13,660
2016-06-14,739
2016-06-15,683
2016-06-16,702
2016-06-17,717
2016-06-18,706
2016-06-19,753
2016-06-20,724
2016-06-21,666
2016-06-22,647
2016-06-23,685
2016-06-24,735
2016-06-25,744
2016-06-26,733
2016-06-27,761
2016-06-28,806
2016-06-29,758
2016-06-30,722
2016-07-01,682
2016-07-02,761
2016-07-03,774
2016-07-04,717
2016-07-05,780
2016-07-06,761
2016-07-07,773
2016-07-08,733
2016-07-09,735
2016-07-10,773
2016-07-11,767
2016-07-12,777
2016-07-13,732
2016-07-14,669
2016-07-15,745
2016-07-16,774
2016-07-17,795
2016-07-18,708
2016-07-19,645
2016-07-20,682
2016-07-21,660
2016-07-22,681
